 1
junk
 2306      | n-pentylbenzene; trans-1-methyl-2-(4-methylpentyl)cyclopentane                                     | f
 2307      | n-undecane; 1,2-dimethyl-3-ethylbenzene; 1,2,4,5-tetramethylbenzene                                | f
 2308      | 4-n-propyltoluene; n-butylbenzene; 1,3-dimethyl-5-ethylbenzene                                     | f
 2309      | 1,2,4-trimethylbenzene; t-butylbenzene; 1-decene                                                   | f
 2310      | 4-ethyltoluene; 2,3-dimethyloctane                                                                 | f
 2311      | Cis-3-nonene; isobutylcyclopentane                                                                 | f
 2312      | o-xylene; 1,1,2-trimethylcyclohexane                                                               | f
 2313      | 3-methyloctane; 3,3-diethylpentane; 3-ethylheptane                                                 | f
 2314      | mp-xylene; 3,4-dimethylheptane                                                                     | f
 2315      | 2,5-dimethylheptane; 3,5-dimethylheptane; 3,3-dimethylheptane                                      | f
 2316      | n-propylcyclopentane; ethylcyclohexane; cis-cis-1,3,5-trimethylcyclohexane                         | f
 2317      | 4,4-dimethylheptane; 2,2-dimethylheptane; 2,6-dimethylheptane; cis-1,2-dimethylcyclohexane         | f
 2318      | 2,4,4-trimethylhexane; isopropylcyclopentane                                                       | f
 2319      | n-octane; trans-1,2-dimethylcyclohexane                                                            | f
 2320      | 1-ethyl-1-methylcyclopentane; 2,2,4-trimethylhexane                                                | f
 2321      | 1,1-dimethylcyclohexane; 1-octene                                                                  | f
 2322      | 3-methylheptane; 3-ethylhexane; cis-trans-1,2,4-trimethylcyclopentane; cis-1,3-dimethylcyclohexane | f
 2323      | 4-methylheptane; 3-methyl-3-ethylpentane; methylcyclohexane; 3,4-dimethylhexane                    | f
 2324      | 1,1,2-trimethylcyclopentane; 2-methyl-3-ethylpentane                                               | f
 2325      | toluene; 2,3,3-trimethylpentane                                                                    | f
 2326      | 2,5-, 2,4-, 3,3-dimethyl-hexane; transcis-1,2,4-trimethylcyclopentane; 2,2,3-trimethylpentane      | f
 2327      | methylcyclohexane; 2,2-dimethylhexane                                                              | f
 2329      | 1-tert-butyl-4-ethylbenzene                                                                        | f
 2330      | 1,3-dimethylcyclopentane                                                                           | f
 2331      | 1,4-pentadiene                                                                                     | f
 2332      | 1,3-dimethylnaphthalene                                                                            | f
 2333      | n-Propylcyclopentane                                                                               | f
 2334      | Isooctane                                                                                          | f
 2335      | o-Vinyltoluene                                                                                     | f
 2336      | ChryseneTriphenylene                                                                               | f
 2337      | 2,2-Dithiobisbenzothiazole                                                                         | f
 2338      | Dimethylphenol                                                                                     | f
 2339      | Methylbenzenediols                                                                                 | f
 2340      | abieta-6,8,11,13-tetraen-18-oic acid                                                               | f
 2341      | Cis-iso-eugenol                                                                                    | f
 2342      | Iso-tritriacontane                                                                                 | f
 2343      | Ethylphenols                                                                                       | f
 2344      | Myosmine                                                                                           | f
 1925      | C10 Olefins                                                                                        | f
 1926      | C10 Paraffinss                                                                                     | f
 1927      | C10H12                                                                                             | f
 1928      | C10H16                                                                                             | f
